ID,pred
2856,74.735
3116,88.38
1125,73.62
3604,82.69
1334,77.41
457,79.18
2597,76.32
4140,75.87
3748,77.38
1364,73.72
3719,89.53
2692,73.13
3077,83.14
102,73.22
1807,74.21
3798,84.4
494,76.86
3381,79.15
4153,83.79
3455,81.67
3809,81.06
2544,81.13
990,74.04
3477,88.97
3482,76.06
1865,73.74
44,70.53393188854488
407,70.89692307692307
438,74.365
1441,83.11
2938,78.67
901,78.29
778,69.8
678,71.67157894736842
486,70.81
3091,81.58
290,68.13235294117646
1552,81.84
555,75.88
330,71.29692307692308
4180,83.91
4226,83.8
1626,69.39
700,77.11
3687,79.31
2630,72.63
2139,81.33
1785,70.26
573,81.97
1808,70.29
2236,85.07
1897,71.86
3093,78.65
2739,74.61
3991,77.19
3673,86.44
1690,83.94
2281,81.5
2463,71.37235294117647
2031,82.88
13,73.57
3001,80.61
1,72.8
58,73.84692307692308
899,71.18
3729,80.38
854,71.54526894158472
661,70.28571428571428
3814,81.3
1216,76.93
2824,80.37
188,73.48
2732,74.31
2719,74.53
99,81.01
1542,74.54
1143,73.16
880,79.71
230,73.06263157894736
1536,65.89
1477,73.35263157894737
1608,71.7
3508,76.07
3722,80.4
3804,80.66
2670,71.01681987774866
1560,75.08
2495,77.38
3479,76.44
2734,71.97
1412,76.85
929,78.63
957,72.09235294117647
3919,85.42
1995,76.26
1915,76.26
1417,76.24
2721,71.02
2290,78.12
1906,70.78
2634,77.94263157894737
3206,83.78
1850,75.1385020242915
2066,87.43
3198,88.73
932,74.92
1038,76.27
913,70.09
2890,77.22
3113,80.9
62,74.70263157894736
1504,78.73
3724,80.93
4117,73.11
2459,71.52
1772,80.95
2776,81.91
306,79.47
2242,74.18263157894737
3476,79.16
3391,80.56
2607,69.25
210,71.96
1856,72.78692307692307
3841,77.64
3003,75.42113360323886
94,75.35
2474,78.88
2053,87.04
