ID,pred
4775,207.47380644872547
10539,210.00200482137345
8229,226.61130668934237
8677,212.1014802724751
5071,210.00200482137345
7075,210.00200482137345
1530,106.3056961639903
4344,212.1014802724751
10279,210.00200482137345
10675,212.1014802724751
5522,212.1014802724751
9320,210.00200482137345
4939,210.00200482137345
465,212.1014802724751
8276,210.00200482137345
1895,210.00200482137345
3101,210.00200482137345
3990,106.3056961639903
10140,212.1014802724751
1328,212.1014802724751
6473,210.00200482137345
6763,210.00200482137345
9182,210.00200482137345
316,210.00200482137345
3747,29.047598029163833
1942,207.47380644872547
5603,207.47380644872547
6956,207.47380644872547
9458,212.1014802724751
8943,210.00200482137345
219,212.1014802724751
8327,207.47380644872547
532,72.18301226551226
3123,210.00200482137345
9104,207.47380644872547
4455,210.00200482137345
2153,210.00200482137345
1242,212.1014802724751
4115,212.1014802724751
6563,207.47380644872547
867,207.47380644872547
818,210.00200482137345
664,210.00200482137345
500,210.00200482137345
3045,210.00200482137345
8615,212.1014802724751
8159,207.47380644872547
9181,210.00200482137345
1572,212.1014802724751
309,210.00200482137345
3189,212.1014802724751
470,210.00200482137345
1790,207.47380644872547
8066,207.47380644872547
4686,210.00200482137345
10148,212.1014802724751
8666,212.1014802724751
10731,210.00200482137345
5048,207.47380644872547
7793,212.1014802724751
3306,72.18301226551226
4158,210.00200482137345
4486,212.1014802724751
9251,72.18301226551226
5447,226.61130668934237
6887,210.00200482137345
2110,72.18301226551226
797,210.00200482137345
10271,29.047598029163833
7812,210.00200482137345
10780,207.47380644872547
2265,210.00200482137345
1760,212.1014802724751
4664,212.1014802724751
4075,106.3056961639903
10235,207.47380644872547
5353,106.3056961639903
10475,106.3056961639903
6657,210.00200482137345
9690,226.61130668934237
7888,207.47380644872547
2033,210.00200482137345
7039,29.047598029163833
2813,210.00200482137345
4771,226.61130668934237
966,210.00200482137345
8483,207.47380644872547
934,210.00200482137345
8109,29.047598029163833
5795,226.61130668934237
121,212.1014802724751
8790,212.1014802724751
1491,210.00200482137345
9772,210.00200482137345
3551,210.00200482137345
9975,210.00200482137345
8137,210.00200482137345
9573,212.1014802724751
6459,210.00200482137345
8411,210.00200482137345
9050,106.3056961639903
5666,210.00200482137345
7681,207.47380644872547
5694,210.00200482137345
7981,210.00200482137345
10631,72.18301226551226
10050,207.47380644872547
724,207.47380644872547
10245,226.61130668934237
1354,207.47380644872547
8684,207.47380644872547
6164,210.00200482137345
10309,210.00200482137345
9445,207.47380644872547
5094,212.1014802724751
10373,207.47380644872547
9613,210.00200482137345
5040,207.47380644872547
1839,212.1014802724751
1838,212.1014802724751
5259,210.00200482137345
9736,212.1014802724751
4211,210.00200482137345
9666,207.47380644872547
10210,207.47380644872547
6663,210.00200482137345
10804,106.3056961639903
4318,212.1014802724751
10612,106.3056961639903
7334,210.00200482137345
3822,207.47380644872547
8090,207.47380644872547
7360,106.3056961639903
771,210.00200482137345
5207,207.47380644872547
484,210.00200482137345
3887,210.00200482137345
2563,210.00200482137345
4801,207.47380644872547
2021,210.00200482137345
1803,210.00200482137345
9606,210.00200482137345
1124,212.1014802724751
313,210.00200482137345
10196,207.47380644872547
3328,210.00200482137345
5605,207.47380644872547
9978,210.00200482137345
8253,210.00200482137345
1089,212.1014802724751
7374,106.3056961639903
10412,212.1014802724751
3797,29.047598029163833
3706,226.61130668934237
7123,106.3056961639903
2257,210.00200482137345
8987,210.00200482137345
7009,210.00200482137345
7842,210.00200482137345
2351,207.47380644872547
8816,210.00200482137345
2573,210.00200482137345
3329,210.00200482137345
2373,210.00200482137345
959,210.00200482137345
8589,212.1014802724751
